personid,vehicleid,crashid,personinvolvementcd,sex,dob,personalinjurylevel,seatlocationcd,transportedind,ejectionind,airbagcd,alcoholuseind,pedestrianlocationcd,pedestriantype,pedestrianschoolinfoind,ageatcrash,contribcirccd1,contribcirccd2,contribcirccd3,contribcirccd4,contribcirccd5,contribcirccd6,contribcirccd7,contribcirccd8,contribcirccd9,contribcirccd10,contribcirccd11,contribcirccd12,distractioncd1,distractioncd2,distractioncd3,distractioncd4,pedestrianactioncd1,pedestrianactioncd2,pedestrianactioncd3,pedestrianactioncd4,pedestrianactioncd5,safetydevicecd1,safetydevicecd2
2130002653V1P1I01   ,2130002653V1 ,2130002653,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
3130000365V1P1I01   ,3130000365V1 ,3130000365,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
3130020390V1P1I01   ,3130020390V1 ,3130020390,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130055891V1P1I01   ,0130055891V1 ,130055891,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,5,21,,,,,,,,,,,3,,,,,,,,,U ,
2130032644V1P1I01   ,2130032644V1 ,2130032644,1,U,0001-01-01,U,NA,U ,U ,  ,N ,NA,N ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
2130006145V1P1I01   ,2130006145V1 ,2130006145,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130028426V1P1I01   ,0130028426V1 ,130028426,1,U,0001-01-01,U,FL,2,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130028506V1P1I01   ,0130028506V1 ,130028506,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130023880V1P1I01   ,0130023880V1 ,130023880,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130031740V2P1I01   ,0130031740V2 ,130031740,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130064182V1P1I01   ,0130064182V1 ,130064182,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130076525V1P1I01   ,0130076525V1 ,130076525,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130035163V1P1I01   ,0130035163V1 ,130035163,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,13,6,,,,,,,,,,,,,,,,,,,,,
3130007817V1P1I01   ,3130007817V1 ,3130007817,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
3130014402V2P3I01   ,3130014402V2 ,3130014402,1,U,0001-01-01,U,FL,U ,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130022427V1P1I01   ,0130022427V1 ,130022427,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130055556V1P1I01   ,0130055556V1 ,130055556,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130014939V2P2I01   ,2130014939V2 ,2130014939,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,7,17,12,,,,,,,,,,,,,,,,,,,U ,
2130010137V1P1I01   ,2130010137V1 ,2130010137,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130075347V1P1I01   ,0130075347V1 ,130075347,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130026595V1P1I01   ,2130026595V1 ,2130026595,1,U,6/26/82,5,FL,1,2,8,N ,NA,N ,  ,31,9,,,,,,,,,,,,,,,,,,,,,5,
2130004468V1P1I01   ,2130004468V1 ,2130004468,1,U,0001-01-01,U,NA,U ,U ,  ,N ,NA,N ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130048388V1P1I01   ,0130048388V1 ,130048388,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,12,13,,,,,,,,,,,,,,,,,,,,,
2130035977V1P1I01   ,2130035977V1 ,2130035977,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,6,,,,,,,,,,,,,,,,,,,,,U ,
0130036339V1P1I01   ,0130036339V1 ,130036339,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130030435V1P1I01   ,2130030435V1 ,2130030435,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130011883V1P1I01   ,0130011883V1 ,130011883,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130031165V1P1I01   ,0130031165V1 ,130031165,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130019381V3P5I01   ,3130019381V3 ,3130019381,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130077335V1P1I01   ,0130077335V1 ,130077335,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130053972V1P1I01   ,0130053972V1 ,130053972,1,U,0001-01-01,U,XX,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130035424V1P1I01   ,2130035424V1 ,2130035424,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
0130062031V1P1I01   ,0130062031V1 ,130062031,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130075847V1P1I01   ,0130075847V1 ,130075847,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130079174V1P1I01   ,0130079174V1 ,130079174,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130022785V2P1I01   ,0130022785V2 ,130022785,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,33,,,,,,,,,,,,,,,,,,,,,,
0130012304V1P1I01   ,0130012304V1 ,130012304,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130076359V1P2I01   ,0130076359V1 ,130076359,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130027978V1P1I01   ,0130027978V1 ,130027978,1,U,0001-01-01,U,FL,U ,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130028268V1P1I01   ,0130028268V1 ,130028268,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130041045V1P1I01   ,0130041045V1 ,130041045,1,U,0001-01-01,U,FL,U ,2,5,Y ,NA,  ,  ,999,21,,,,,,,,,,,,9,,,,,,,,,U ,
0130068261V1P1I01   ,0130068261V1 ,130068261,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130028008V1P1I01   ,0130028008V1 ,130028008,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130012705V1P1I01   ,0130012705V1 ,130012705,1,U,0001-01-01,U,FL,NA,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130076305V1P1I01   ,0130076305V1 ,130076305,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130062852V1P1I01   ,0130062852V1 ,130062852,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130028615V1P1I01   ,3130028615V1 ,3130028615,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
2130034357V1P1I01   ,2130034357V1 ,2130034357,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130033696V1P1I01   ,2130033696V1 ,2130033696,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130012000V1P1I01   ,0130012000V1 ,130012000,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130037255V1P1I01   ,0130037255V1 ,130037255,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130076040V1P1I01   ,0130076040V1 ,130076040,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,6,13,,,,,,,,,,,,,,,,,,,,U ,
0130080529V1P1I01   ,0130080529V1 ,130080529,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130034460V1P1I01   ,0130034460V1 ,130034460,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130048430V1P1I01   ,0130048430V1 ,130048430,1,U,0001-01-01,U,FL,U ,U ,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130078996V1P1I01   ,0130078996V1 ,130078996,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,7,17,,,,,,,,,,,,,,,,,,,,,
2130007582V1P1I01   ,2130007582V1 ,2130007582,1,U,11/8/96,4,FL,3,2,5,N ,NA,N ,  ,16,23,13,,,,,,,,,,,,,,,,,,,,5,
0130083809V1P1I01   ,0130083809V1 ,130083809,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130030731V1P1I01   ,0130030731V1 ,130030731,1,U,0001-01-01,5,FL,1,2,3,N ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130026587V1P1I01   ,2130026587V1 ,2130026587,1,U,0001-01-01,U,XX,U ,U ,U ,N ,NA,N ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130047517V1P1I01   ,0130047517V1 ,130047517,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130064278V1P1I01   ,0130064278V1 ,130064278,1,U,0001-01-01,U,XX,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130068408V1P1I01   ,0130068408V1 ,130068408,1,U,0001-01-01,5,FL,1,2,3,N ,NA,  ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
2130027769V1P1I01   ,2130027769V1 ,2130027769,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130030147V2P2I01   ,2130030147V2 ,2130030147,1,U,8/14/85,5,FL,1,2,5,U ,NA,N ,  ,28,22,,,,,,,,,,,,,,,,,,,,,5,
2130027603V2P3I01   ,2130027603V2 ,2130027603,1,U,9/7/76,5,FL,1,2,3,N ,NA,N ,  ,37,22,,,,,,,,,,,,,,,,,,,,,3,
0130073236V1P1I01   ,0130073236V1 ,130073236,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
3130011269V1P1I01   ,3130011269V1 ,3130011269,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130059349V1P1I01   ,0130059349V1 ,130059349,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130007085V1P1I01   ,2130007085V1 ,2130007085,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130019467V2P3I01   ,2130019467V2 ,2130019467,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
2130007708V1P1I01   ,2130007708V1 ,2130007708,1,U,0001-01-01,U,NA,NA,NA,  ,U ,NA,N ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
0130023022V1P1I01   ,0130023022V1 ,130023022,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130022216V1P1I01   ,0130022216V1 ,130022216,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130029094V1P1I01   ,0130029094V1 ,130029094,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130079805V1P1I01   ,0130079805V1 ,130079805,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130042243V1P1I01   ,0130042243V1 ,130042243,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130035525V2P3I01   ,2130035525V2 ,2130035525,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,,,,,,,,,,,,,,,,,,,,,,U ,
0130049858V1P1I01   ,0130049858V1 ,130049858,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
3130004582V2P3I01   ,3130004582V2 ,3130004582,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130073360V2P1I01   ,0130073360V2 ,130073360,1,U,0001-01-01,U,FL,U ,U ,U ,N ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,,
2130005856V1P1I01   ,2130005856V1 ,2130005856,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130079116V1P1I01   ,0130079116V1 ,130079116,1,U,0001-01-01,U,FL,1,2,3,Y ,NA,  ,  ,999,18,11,21,,,,,,,,,,9,,,,,,,,,U ,
0130022777V1P1I01   ,0130022777V1 ,130022777,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130086787V1P1I01   ,0130086787V1 ,130086787,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
3130015028V1P1I01   ,3130015028V1 ,3130015028,1,U,0001-01-01,5,FL,1,2,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130015730V1P2I01   ,0130015730V1 ,130015730,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,,
0130013357V1P1I01   ,0130013357V1 ,130013357,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130060605V1P1I01   ,0130060605V1 ,130060605,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130034388V1P1I01   ,0130034388V1 ,130034388,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130032229V1P1I01   ,0130032229V1 ,130032229,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130031599V2P1I01   ,0130031599V2 ,130031599,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130013143V1P1I01   ,0130013143V1 ,130013143,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130052469V1P1I01   ,0130052469V1 ,130052469,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130085301V1P1I01   ,0130085301V1 ,130085301,1,U,0001-01-01,U,FL,U ,U ,5,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130070593V1P1I01   ,0130070593V1 ,130070593,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,4,5,,,,,,,,,,,,,,,,,,,,5,
0130076136V1P1I01   ,0130076136V1 ,130076136,1,U,0001-01-01,U,FL,1,NA,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130086729V2P1I01   ,0130086729V2 ,130086729,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,,,,,,,,,,,,,,,,,,,,,,U ,
0130062904V2P1I01   ,0130062904V2 ,130062904,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130002157V1P1I01   ,3130002157V1 ,3130002157,1,U,0001-01-01,U,FL,1,2,1,U ,NA,  ,  ,999,30,,,,,,,,,,,,,,,,,,,,,U ,
0130028894V1P1I01   ,0130028894V1 ,130028894,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130035442V1P1I01   ,0130035442V1 ,130035442,1,U,0001-01-01,5,FL,1,U ,U ,U ,NA,  ,  ,999,7,21,,,,,,,,,,,15,,,,,,,,,U ,
2130012064V2P3I01   ,2130012064V2 ,2130012064,1,U,8/31/75,5,FL,1,2,3,N ,NA,N ,  ,37,22,,,,,,,,,,,,,,,,,,,,,5,
3130031550V2P3I01   ,3130031550V2 ,3130031550,1,U,0001-01-01,5,FL,1,2,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130048867V1P1I01   ,0130048867V1 ,130048867,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130015022V1P1I01   ,0130015022V1 ,130015022,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130012980V1P1I01   ,0130012980V1 ,130012980,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130061382V1P1I01   ,0130061382V1 ,130061382,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130028811V1P1I01   ,0130028811V1 ,130028811,1,U,0001-01-01,U,FL,U ,U ,3,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130043592V1P1I01   ,0130043592V1 ,130043592,1,U,0001-01-01,U,FL,NA,2,1,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
3130020841V1P1I01   ,3130020841V1 ,3130020841,1,U,0001-01-01,U,XX,U ,U ,3,U ,NA,  ,  ,999,13,5,,,,,,,,,,,,,,,,,,,,U ,
0130011977V1P1I01   ,0130011977V1 ,130011977,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,6,13,,,,,,,,,,,,,,,,,,,,U ,
0130023495V2P1I01   ,0130023495V2 ,130023495,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130028484V1P1I01   ,0130028484V1 ,130028484,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130018799V1P1I01   ,0130018799V1 ,130018799,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,5,9,,,,,,,,,,,,,,,,,,,,U ,
2130031897V2P2I01   ,2130031897V2 ,2130031897,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
0130042335V1P1I01   ,0130042335V1 ,130042335,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130062557V1P1I01   ,0130062557V1 ,130062557,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130081329V1P1I01   ,0130081329V1 ,130081329,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130032437V1P1I01   ,0130032437V1 ,130032437,1,U,0001-01-01,U,FL,U ,U ,U ,N ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130048561V1P1I01   ,0130048561V1 ,130048561,1,U,0001-01-01,U,FL,1,2,4,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130013124V1P1I01   ,0130013124V1 ,130013124,1,U,0001-01-01,U,FL,1,2,5,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130075742V3P1I01   ,0130075742V3 ,130075742,1,U,0001-01-01,5,FL,U ,U ,3,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,5,
0130051858V1P1I01   ,0130051858V1 ,130051858,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130068075V1P1I01   ,0130068075V1 ,130068075,1,U,0001-01-01,U,FL,U ,U ,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,1,
2130013826V2P3I01   ,2130013826V2 ,2130013826,1,U,0001-01-01,U,XX,U ,U ,U ,N ,NA,N ,  ,999,17,7,,,,,,,,,,,,,,,,,,,,U ,
0130049133V2P1I01   ,0130049133V2 ,130049133,1,U,0001-01-01,5,FL,1,2,3,N ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130013361V1P1I01   ,2130013361V1 ,2130013361,1,U,0001-01-01,U,XX,U ,U ,U ,N ,NA,N ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
3130001748V2P3I01   ,3130001748V2 ,3130001748,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,9,5,13,,,,,,,,,,,,,,,,,,,U ,
0130031104V1P1I01   ,0130031104V1 ,130031104,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130035039V1P1I01   ,0130035039V1 ,130035039,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130001013V2P3I01   ,3130001013V2 ,3130001013,1,U,0001-01-01,5,XX,NA,U ,1,U ,NA,  ,  ,999,13,17,,,,,,,,,,,,,,,,,,,,U ,
0130049006V1P1I01   ,0130049006V1 ,130049006,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,4,,,,,,,,,,,,,,,,,,,,,,
2130029050V1P1I01   ,2130029050V1 ,2130029050,1,U,3/26/48,5,FL,1,2,3,N ,NA,N ,  ,65,9,,,,,,,,,,,,,,,,,,,,,5,
0130079372V1P1I01   ,0130079372V1 ,130079372,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130003723V1P1I01   ,2130003723V1 ,2130003723,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130035723V1P1I01   ,0130035723V1 ,130035723,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130037140V1P1I01   ,0130037140V1 ,130037140,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,,
2130030824V2P2I01   ,2130030824V2 ,2130030824,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130013657V1P1I01   ,0130013657V1 ,130013657,1,U,0001-01-01,5,FL,1,2,1,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130062667V1P1I01   ,0130062667V1 ,130062667,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130077115V1P1I01   ,0130077115V1 ,130077115,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130021940V1P1I01   ,2130021940V1 ,2130021940,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130023450V2P1I01   ,0130023450V2 ,130023450,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130003605V1P1I01   ,2130003605V1 ,2130003605,1,U,9/27/33,U,FL,1,2,1,N ,NA,N ,  ,79,11,,,,,,,,,,,,,,,,,,,,,5,
0130052696V1P1I01   ,0130052696V1 ,130052696,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,4,,,,,,,,,,,,,,,,,,,,,,
0130037072V2P1I01   ,0130037072V2 ,130037072,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130026536V1P1I01   ,0130026536V1 ,130026536,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130004362V1P1I01   ,2130004362V1 ,2130004362,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130085312V1P1I01   ,0130085312V1 ,130085312,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,,,,,,,,,,,,,,,,,,,,,,U ,
0130023983V1P1I01   ,0130023983V1 ,130023983,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
